config_id,trait_name,activation_condition,chance_to_activate,chance_to_activate_while_betting_correctly,add_dice_rolls,add_payout_percentage_of_current_debt,add_percentage_total_payout,bonus_hit_symbol_percentage_value,bonus_hit_symbol_max_percentage_value,bonus_deer_percentage_value,bonus_gourb_percentage_value,bonus_chicken_value,bonus_fish_value,bonus_crab_value,bonus_shrimp_value,talisman_prices,bet_ceilling,bet_slot_coverage
1000,trait_two_more_times,modifier,100%,0%,2,0%,0%,0%,99999999999999900000%,0%,0%,0%,0%,0%,0%,0%,0%,0
1001,trait_roll_and_roll,any_roll,10%,0%,1,0%,0%,0%,99999999999999900000%,0%,0%,0%,0%,0%,0%,0%,0%,0
1002,trait_shrimp_swarm,shrimp_appear;shrimp_bet,10%,20%,1,0%,0%,0%,99999999999999900000%,0%,0%,0%,0%,0%,0%,0%,0%,0
1003,trait_fish_fortune,fish_appear;fish_bet,10%,20%,0,5%,0%,0%,99999999999999900000%,0%,0%,0%,0%,0%,0%,0%,0%,0
1004,trait_flourish,gourd_appear;gourd_bet,10%,20%,0,0%,5%,0%,99999999999999900000%,0%,0%,0%,0%,0%,0%,0%,0%,0
1005,trait_crab_harvest,night;crab_appear;crab_bet,100%,0%,0,0%,0%,0%,99999999999999900000%,0%,0%,0%,0%,75%,0%,0%,0%,0
1006,trait_chicken_clock,morning;chicken_appear;chicken_bet,100%,0%,0,0%,0%,0%,99999999999999900000%,0%,0%,75%,0%,0%,0%,0%,0%,0
1007,trait_oh_deer,evening;deer_appear;deer_bet,100%,0%,0,0%,0%,0%,99999999999999900000%,75%,0%,0%,0%,0%,0%,0%,0%,0
1008,trait_keep_double_up,dice_match_2,100%,0%,0,0%,0%,100%,99999999999999900000%,0%,0%,0%,0%,0%,0%,0%,0%,0
1009,trait_keep_tribble_up,dice_match_3,100%,0%,0,0%,0%,200%,99999999999999900000%,0%,0%,0%,0%,0%,0%,0%,0%,0
1010,trait_all_in,bet_one_symbol,100%,0%,0,0%,0%,100%,99999999999999900000%,0%,0%,0%,0%,0%,0%,0%,0%,0
1011,trait_betting_tactic,bet_multi_symbol,100%,0%,0,0%,0%,40%,99999999999999900000%,0%,0%,0%,0%,0%,0%,0%,0%,0
1012,trait_still_breathing_still_gambling,no_hit_this_roll,100%,0%,0,0%,0%,15%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0
1013,trait_silver_crab,modifier,100%,0%,0,0%,0%,0%,99999999999999900000%,0%,0%,0%,0%,25%,0%,0%,0%,0
1014,trait_silver_deer,modifier,100%,0%,0,0%,0%,0%,99999999999999900000%,25%,0%,0%,0%,0%,0%,0%,0%,0
1015,trait_silver_chicken,modifier,100%,0%,0,0%,0%,0%,99999999999999900000%,0%,0%,25%,0%,0%,0%,0%,0%,0
1016,trait_silver_fish,modifier,100%,0%,0,0%,0%,0%,99999999999999900000%,0%,0%,0%,25%,0%,0%,0%,0%,0
1017,trait_silver_shrimp,modifier,100%,0%,0,0%,0%,0%,99999999999999900000%,0%,0%,0%,0%,0%,25%,0%,0%,0
1018,trait_slver_gourb,modifier,100%,0%,0,0%,0%,0%,99999999999999900000%,0%,25%,0%,0%,0%,0%,0%,0%,0
1019,trait_discount,modifier,100%,0%,0,0%,0%,0%,99999999999999900000%,0%,0%,0%,0%,0%,0%,-20%,0%,0
1020,trait_bet_hard,modifier,100%,0%,0,0%,0%,0%,99999999999999900000%,0%,0%,0%,0%,0%,0%,0%,30%,-1
1021,trait_more_slot_please,modifier,100%,0%,-2,0%,0%,0%,99999999999999900000%,0%,0%,0%,0%,0%,0%,0%,0%,1
1022,trait_no_need_water,modifier,100%,0%,0,0%,0%,0%,99999999999999900000%,0%,0%,0%,-25%,-25%,-25%,0%,20%,0
1023,trait_no_need_surface,modifier,100%,0%,0,0%,0%,0%,99999999999999900000%,-25%,0%,-25%,0%,0%,0%,0%,15%,0
1024,trait_hatch,modifier,100%,0%,0,0%,0%,0%,99999999999999900000%,0%,-25%,0%,0%,0%,0%,0%,0%,1
